"profit","loss","targetloanstatus"
2930,0,"0"
1490.4,0,"0"
3164.4,0,"0"
0,5000,"1"
180.9,0,"0"
4757.5,0,"0"
3425.4,0,"0"
0,12000,"1"
3054,0,"0"
1349,0,"0"
1863,0,"0"
948,0,"0"
2130,0,"0"
737.73,0,"0"
3354,0,"0"
6044.5,0,"0"
1316.7,0,"0"
2538,0,"0"
0,10000,"1"
0,24000,"1"
1827.36,0,"0"
879,0,"0"
3511.2,0,"0"
0,12000,"1"
2683.2,0,"0"
1065,0,"0"
3044.8,0,"0"
0,10000,"1"
472.15,0,"0"
951.36,0,"0"
780.125,0,"0"
3779.7,0,"0"
379.2,0,"0"
470.34,0,"0"
2854,0,"0"
0,9750,"1"
2872.8,0,"0"
301.5,0,"0"
1318.5,0,"0"
568.8,0,"0"
0,3000,"1"
0,25000,"1"
3817.5,0,"0"
1596,0,"0"
0,8875,"1"
1820.905,0,"0"
2595.9,0,"0"
951.75,0,"0"
789.875,0,"0"
777.15,0,"0"
720.36,0,"0"
1171,0,"0"
991,0,"0"
1639.4,0,"0"
4757.5,0,"0"
0,12000,"1"
1896,0,"0"
1997.8,0,"0"
1068,0,"0"
0,15000,"1"
0,8050,"1"
596.4,0,"0"
743.25,0,"0"
819.7,0,"0"
426.6,0,"0"
1987.2,0,"0"
4347,0,"0"
0,6000,"1"
523.4625,0,"0"
1596.42,0,"0"
2865.25,0,"0"
331,0,"0"
1159.29,0,"0"
468.4,0,"0"
1756.5,0,"0"
997.5,0,"0"
1042.56,0,"0"
1193.865,0,"0"
1832.4,0,"0"
1335,0,"0"
927.55,0,"0"
1276.8,0,"0"
6384,0,"0"
2197.5,0,"0"
1455.54,0,"0"
1117.8,0,"0"
1058.85,0,"0"
4894.4,0,"0"
158,0,"0"
1079.2,0,"0"
666.5125,0,"0"
0,1500,"1"
993.6,0,"0"
0,20000,"1"
761.15,0,"0"
1295.04,0,"0"
3296.2275,0,"0"
790,0,"0"
1863,0,"0"
595.8,0,"0"
790,0,"0"
0,1000,"1"
1106,0,"0"
0,8500,"1"
2854.5,0,"0"
718.2,0,"0"
225.3,0,"0"
991,0,"0"
3563.625,0,"0"
0,33425,"1"
6797,0,"0"
1099.44,0,"0"
0,18000,"1"
1817,0,"0"
0,20000,"1"
1054.8,0,"0"
623,0,"0"
2664.9,0,"0"
619.575,0,"0"
1288.3,0,"0"
1191.6,0,"0"
434.16,0,"0"
1468.5,0,"0"
641.875,0,"0"
1411.88,0,"0"
5100.04,0,"0"
1516.8,0,"0"
2263.425,0,"0"
496.8,0,"0"
651.6,0,"0"
1189.2,0,"0"
307.3875,0,"0"
2428.2,0,"0"
693.7,0,"0"
1433.97,0,"0"
396.4,0,"0"
482.4,0,"0"
0,14400,"1"
543.375,0,"0"
307.91,0,"0"
534,0,"0"
0,4200,"1"
264.8,0,"0"
0,3000,"1"
685.26,0,"0"
0,15000,"1"
3728,0,"0"
1319.76,0,"0"
791.1,0,"0"
1428.3,0,"0"
662,0,"0"
2458.5525,0,"0"
320.4,0,"0"
2166.35,0,"0"
3066,0,"0"
0,10000,"1"
2737.5,0,"0"
936.8,0,"0"
4192.5,0,"0"
0,16000,"1"
852,0,"0"
540.72,0,"0"
901.2,0,"0"
0,2200,"1"
2538,0,"0"
3477.6,0,"0"
450.6,0,"0"
0,25000,"1"
0,8000,"1"
2198.88,0,"0"
3806,0,"0"
3567.5,0,"0"
1250.45,0,"0"
809.4,0,"0"
1885.31,0,"0"
0,35000,"1"
831.475,0,"0"
1149.12,0,"0"
1970.25,0,"0"
1618.8,0,"0"
1405.2,0,"0"
351.3,0,"0"
1547.55,0,"0"
2456.055,0,"0"
0,12000,"1"
3995.6,0,"0"
3726,0,"0"
1704,0,"0"
2124.25,0,"0"
1714.05,0,"0"
441.975,0,"0"
1756.5,0,"0"
4024.8,0,"0"
0,21250,"1"
1427,0,"0"
4562.5,0,"0"
638.4,0,"0"
1756.5,0,"0"
2698,0,"0"
2637,0,"0"
574.56,0,"0"
1141.8,0,"0"
0,15000,"1"
2190,0,"0"
929.3625,0,"0"
0,4000,"1"
1384.5,0,"0"
331,0,"0"
798,0,"0"
3044.6,0,"0"
2796,0,"0"
0,4000,"1"
632,0,"0"
0,1700,"1"
1585.6,0,"0"
1982,0,"0"
0,12000,"1"
819.7,0,"0"
0,8000,"1"
3057.6,0,"0"
0,13000,"1"
4256,0,"0"
2428.2,0,"0"
1629,0,"0"
3397.575,0,"0"
0,24000,"1"
0,11200,"1"
745.5,0,"0"
482.4,0,"0"
3773.25,0,"0"
2072.4,0,"0"
3223,0,"0"
660.3,0,"0"
1575.69,0,"0"
445,0,"0"
1059.2,0,"0"
585.5,0,"0"
481.005,0,"0"
0,12000,"1"
0,28000,"1"
621,0,"0"
297.3,0,"0"
0,3000,"1"
556.08,0,"0"
745.5,0,"0"
3602.41,0,"0"
198.2,0,"0"
1758,0,"0"
0,8575,"1"
0,28000,"1"
790,0,"0"
4855,0,"0"
936.8,0,"0"
0,16000,"1"
2927.5,0,"0"
198.2,0,"0"
2461.2,0,"0"
712,0,"0"
1522.8,0,"0"
0,11000,"1"
0,5000,"1"
2932.2,0,"0"
0,10000,"1"
495.5,0,"0"
1629,0,"0"
2477.5,0,"0"
304.56,0,"0"
0,3000,"1"
0,7700,"1"
323.76,0,"0"
3520.55,0,"0"
532.5,0,"0"
2461.2,0,"0"
0,24500,"1"
255.6,0,"0"
223.56,0,"0"
0,22200,"1"
4155.88,0,"0"
0,13000,"1"
1015.2,0,"0"
0,3600,"1"
