"targetloanstatus","creditpolicy","loanamnt","term","intrate","installment","grade","emplength","dti","inqlast6mths","openacc","revolutil","totalacc","emp10years","delin2years","homeowner","annualinc_bin","revolbal_bin","verified","purpose_mod"
"NoDefault","Y",4750,"36months",0.1357,161.36,"C",0,5.09,0,7,0,20,"N","N","Y","Gp1","Gp5","N","business"
"NoDefault","Y",2500,"36months",0.0691,77.09,"A",0,7.28,1,12,0.236,13,"N","N","N","Gp2","Gp2","N","credit_card"
"NoDefault","Y",2500,"36months",0.1253,83.67,"B",10,10.97,0,12,0.566,23,"Y","N","N","Gp2","Gp3","Y","other"
"NoDefault","Y",5000,"60months",0.1111,108.99,"B",10,18.14,0,7,0.868,33,"Y","N","Y","Gp5","Gp5","N","debt_consolidation"
"NoDefault","N",10000,"36months",0.1287,336.34,"C",1,20.69,4,15,0.407,18,"N","N","Y","Gp2","Gp5","N","debt_consolidation"
"NoDefault","Y",5400,"36months",0.0749,167.95,"A",4,4.86,0,15,0.455,21,"N","N","N","Gp3","Gp2","N","debt_consolidation"
"NoDefault","Y",5000,"36months",0.1349,169.66,"C",1,12.37,0,2,0.897,10,"N","N","N","Gp4","Gp1","Y","debt_consolidation"
"NoDefault","Y",10000,"36months",0.0579,303.27,"A",10,15.12,0,10,0.23,25,"Y","N","Y","Gp1","Gp2","Y","debt_consolidation"
"NoDefault","Y",12000,"36months",0.1036,389.24,"B",4,16.34,0,8,0.868,23,"N","N","N","Gp3","Gp5","Y","debt_consolidation"
"NoDefault","Y",4600,"36months",0.1149,151.67,"B",6,21.79,0,7,0.751,13,"N","N","N","Gp2","Gp2","Y","credit_card"
"NoDefault","Y",12000,"60months",0.1756,301.86,"E",3,5.38,1,10,0.493,15,"N","N","Y","Gp4","Gp3","N","credit_card"
"NoDefault","Y",3600,"36months",0.1427,123.52,"C",0,12.59,0,4,0.995,8,"N","N","N","Gp1","Gp1","Y","other"
"NoDefault","Y",12000,"36months",0.0542,361.92,"A",1,7.54,0,6,0.095,18,"N","N","Y","Gp5","Gp2","N","living_expenses"
"NoDefault","Y",25000,"36months",0.1459,861.63,"D",8,0.22,3,11,0.461,39,"N","Y","Y","Gp5","Gp4","N","debt_consolidation"
"NoDefault","Y",6000,"36months",0.1323,202.83,"C",10,23.18,0,14,0.674,31,"Y","N","N","Gp4","Gp5","Y","debt_consolidation"
"NoDefault","Y",10000,"36months",0.0729,310.1,"A",10,7.62,4,19,0.144,38,"Y","N","Y","Gp4","Gp5","N","debt_consolidation"
"NoDefault","Y",8000,"36months",0.1,258.14,"B",6,7.22,0,4,0.002,25,"N","N","N","Gp4","Gp1","N","debt_consolidation"
"NoDefault","Y",4500,"36months",0.1306,151.76,"C",8,7.23,1,9,0.483,14,"N","N","N","Gp4","Gp3","N","debt_consolidation"
"NoDefault","Y",6400,"36months",0.0599,194.68,"A",10,24.47,0,12,0.19,21,"Y","N","N","Gp1","Gp3","Y","debt_consolidation"
"NoDefault","Y",5100,"36months",0.1037,165.46,"B",8,15.54,1,8,0.691,26,"N","N","Y","Gp3","Gp2","Y","living_expenses"
"NoDefault","Y",12000,"36months",0.0894,381.26,"A",10,14.66,2,10,0.737,43,"Y","N","Y","Gp4","Gp4","N","debt_consolidation"
"NoDefault","Y",12000,"60months",0.0962,252.73,"B",4,14.19,1,5,0.067,10,"N","N","N","Gp2","Gp1","N","other"
"NoDefault","Y",1600,"36months",0.1372,54.47,"C",0,20.86,1,7,0.655,13,"N","Y","Y","Gp1","Gp3","N","debt_consolidation"
"NoDefault","Y",6900,"36months",0.1287,232.07,"C",0,4.65,1,8,0.196,18,"N","N","Y","Gp2","Gp1","Y","living_expenses"
"NoDefault","Y",9600,"60months",0.0963,202.23,"B",4,10.61,0,8,0.417,13,"N","N","N","Gp2","Gp3","N","debt_consolidation"
"NoDefault","N",4000,"36months",0.1071,130.41,"B",0,3.85,0,2,0.571,3,"N","N","N","Gp1","Gp2","N","debt_consolidation"
"NoDefault","Y",8000,"36months",0.0603,243.49,"A",10,9.49,0,9,0,30,"Y","N","Y","Gp4","Gp1","N","other"
"NoDefault","Y",3000,"36months",0.089,95.26,"A",10,13.6,0,7,0.851,15,"Y","N","Y","Gp2","Gp4","N","living_expenses"
"NoDefault","Y",30000,"36months",0.1562,1049.1,"D",10,17.3,0,18,0.742,39,"Y","Y","Y","Gp5","Gp5","Y","credit_card"
"NoDefault","Y",23500,"36months",0.1496,814.19,"D",6,12,2,4,0.574,4,"N","N","N","Gp2","Gp2","Y","debt_consolidation"
"NoDefault","Y",10000,"36months",0.1558,349.51,"D",1,20.4,2,11,0.6,27,"N","N","Y","Gp5","Gp3","Y","other"
"NoDefault","Y",2000,"36months",0.0774,62.44,"A",0,6.06,1,15,0.214,42,"N","N","Y","Gp2","Gp5","N","debt_consolidation"
"NoDefault","Y",10000,"36months",0.1357,339.69,"C",7,15.74,1,23,0.311,40,"N","N","Y","Gp5","Gp5","Y","debt_consolidation"
"NoDefault","Y",4100,"36months",0.1149,135.19,"B",0,19.2,0,12,0.574,21,"N","N","N","Gp2","Gp2","Y","debt_consolidation"
"NoDefault","Y",4500,"60months",0.1682,111.41,"E",4,8.76,0,5,0.252,5,"N","Y","N","Gp1","Gp1","N","other"
"NoDefault","Y",28000,"60months",0.1565,562.29,"D",3,12.62,1,15,0.123,30,"N","N","Y","Gp3","Gp1","Y","business"
